          x(meter)            y(meter)                 u(m/s)              v(m/s)
        583030.37500        4408127.50000              0.15693             -0.04172
        583989.43750        4406163.50000             -0.01328             -0.11618
        581288.25000        4404876.00000              0.06430             -0.06949
        579684.93750        4402686.00000              0.05640              0.05591
        581100.25000        4400897.00000             -0.00893             -0.07551
        579814.31250        4397820.50000             -0.02112             -0.06953
        577549.43750        4396396.00000             -0.05477              0.04326
        577772.18750        4392963.50000             -0.02325             -0.04309
        575440.50000        4391434.00000             -0.06959              0.02596
        575776.56250        4388243.50000             -0.01649             -0.02067
        573339.37500        4386511.50000             -0.07126             -0.00218
        573742.18750        4383426.00000             -0.01336             -0.02978
        571266.06250        4381583.50000             -0.04491             -0.00648
        571774.43750        4378701.00000             -0.01360             -0.03157
        568273.93750        4376742.50000             -0.02805             -0.00208
        568430.87500        4373036.00000             -0.01725             -0.03790
        564324.37500        4370316.50000             -0.02069             -0.01904
        565115.31250        4365792.50000             -0.01663             -0.02821
        560982.18750        4363119.50000             -0.01190             -0.03256
        561988.75000        4358422.00000             -0.01818             -0.02986
        558000.06250        4355815.00000             -0.00005             -0.03363
        559033.31250        4351071.00000             -0.01797             -0.02460
        555629.81250        4348569.00000              0.01364             -0.03318
        556518.50000        4343759.50000             -0.01882             -0.02515
        552795.87500        4341826.50000              0.01706             -0.02499
        553099.50000        4336912.00000             -0.01950             -0.02630
        549295.25000        4335096.00000              0.00810             -0.02769
        549918.00000        4329612.00000             -0.02190             -0.03595
        546102.06250        4327757.50000              0.00739             -0.02520
        546806.37500        4322157.00000             -0.02209             -0.03710
        542964.56250        4320255.50000              0.00344             -0.02375
        543680.56250        4314693.00000             -0.02252             -0.03998
        539805.18750        4312743.00000             -0.00740             -0.02917
        540547.00000        4307228.00000             -0.02402             -0.04694
        536647.93750        4305225.50000             -0.00969             -0.02945
        537423.43750        4299759.00000             -0.02353             -0.04703
        533624.00000        4297712.50000             -0.00848             -0.02504
        534423.18750        4292298.00000             -0.02334             -0.04810
        530571.81250        4290214.00000             -0.01664             -0.02772
        531271.31250        4284843.50000             -0.02281             -0.04858
        527297.25000        4282822.00000             -0.02235             -0.03415
        528048.68750        4277489.00000             -0.02442             -0.05561
        524032.25000        4275434.50000             -0.02118             -0.03056
        524906.43750        4270039.50000             -0.02266             -0.05149
        520842.84375        4267940.00000             -0.02587             -0.02723
        521759.34375        4262578.00000             -0.02069             -0.04722
        517670.25000        4260421.00000             -0.03665             -0.04876
        518633.87500        4255104.00000             -0.02609             -0.06626
        514545.56250        4252908.50000             -0.03718             -0.05402
        515534.71875        4247648.50000             -0.02563             -0.06528
        511594.84375        4245411.00000             -0.02056             -0.04440
        512583.25000        4240189.50000             -0.02372             -0.06003
