Modularity£º 0.51
Total number of provinves: 5
x of grid center     y of grid center    province label
     35000              4275000                5          
     35000              4285000                5          
     35000              4295000                5          
     35000              4305000                5          
     35000              4315000                5          
     45000              4255000                5          
     45000              4265000                5          
     45000              4275000                5          
     45000              4285000                5          
     45000              4295000                5          
     45000              4305000                5          
     45000              4315000                5          
     55000              4255000                5          
     55000              4265000                5          
     55000              4275000                5          
     55000              4285000                5          
     55000              4295000                5          
     55000              4305000                5          
     55000              4315000                5          
     55000              4335000                5          
     55000              4345000                5          
     65000              4245000                5          
     65000              4255000                5          
     65000              4265000                5          
     65000              4275000                5          
     65000              4285000                5          
     65000              4295000                5          
     65000              4305000                5          
     65000              4315000                5          
     65000              4325000                5          
     65000              4335000                5          
     65000              4345000                5          
     75000              4235000                5          
     75000              4245000                5          
     75000              4255000                5          
     75000              4265000                5          
     75000              4275000                5          
     75000              4285000                5          
     75000              4295000                5          
     75000              4305000                5          
     75000              4315000                5          
     75000              4325000                5          
     75000              4335000                5          
     75000              4345000                5          
     85000              4235000                5          
     85000              4245000                5          
     85000              4255000                5          
     85000              4265000                5          
     85000              4275000                5          
     85000              4285000                5          
     85000              4295000                5          
     85000              4305000                5          
     85000              4315000                5          
     85000              4325000                5          
     85000              4335000                5          
     95000              4235000                5          
     95000              4245000                5          
     95000              4255000                5          
     95000              4265000                5          
     95000              4275000                5          
     95000              4285000                5          
     95000              4295000                5          
     95000              4305000                5          
     95000              4315000                5          
     95000              4325000                5          
     105000             4235000                4          
     105000             4245000                5          
     105000             4255000                5          
     105000             4265000                5          
     105000             4275000                5          
     105000             4285000                1          
     105000             4295000                1          
     105000             4305000                5          
     105000             4315000                1          
     115000             4235000                4          
     115000             4245000                5          
     115000             4255000                5          
     115000             4265000                5          
     115000             4275000                1          
     115000             4285000                1          
     115000             4295000                1          
     115000             4305000                1          
     115000             4315000                1          
     115000             4335000                1          
     125000             4235000                4          
     125000             4245000                4          
     125000             4255000                1          
     125000             4265000                1          
     125000             4275000                1          
     125000             4285000                1          
     125000             4295000                1          
     125000             4305000                1          
     125000             4315000                1          
     125000             4325000                1          
     125000             4335000                1          
     135000             4235000                4          
     135000             4245000                4          
     135000             4255000                1          
     135000             4265000                1          
     135000             4275000                1          
     135000             4285000                3          
     135000             4295000                3          
     135000             4305000                3          
     135000             4315000                3          
     135000             4325000                1          
     135000             4335000                1          
     145000             4135000                4          
     145000             4145000                4          
     145000             4155000                4          
     145000             4165000                4          
     155000             4135000                4          
     155000             4145000                4          
     155000             4155000                4          
     155000             4165000                4          
     155000             4175000                4          
     165000             4125000                4          
     165000             4135000                4          
     165000             4145000                4          
     165000             4155000                4          
     165000             4165000                4          
     165000             4175000                4          
     175000             4115000                4          
     175000             4125000                4          
     175000             4135000                4          
     175000             4145000                4          
     175000             4155000                4          
     175000             4165000                4          
     175000             4175000                4          
     185000             4125000                4          
     185000             4135000                4          
     185000             4145000                4          
     185000             4155000                4          
     185000             4165000                4          
     185000             4175000                4          
     195000             4115000                4          
     195000             4125000                4          
     195000             4135000                4          
     195000             4145000                4          
     195000             4155000                4          
     195000             4165000                4          
     195000             4175000                4          
     205000             4125000                4          
     205000             4135000                4          
     205000             4145000                4          
     205000             4155000                4          
     205000             4165000                4          
     205000             4175000                4          
     215000             4125000                4          
     215000             4135000                4          
     215000             4145000                4          
     215000             4155000                4          
     215000             4165000                4          
     215000             4175000                4          
     225000             4135000                4          
     225000             4145000                4          
     225000             4155000                4          
     225000             4165000                4          
     225000             4175000                4          
     235000             4155000                4          
     235000             4165000                4          
     235000             4175000                4          
     245000             4155000                4          
     245000             4165000                4          
     245000             4175000                4          
     255000             4165000                4          
     255000             4175000                4          
     265000             4445000                1          
     275000             4445000                1          
     285000             4445000                1          
     285000             4455000                1          
     295000             4445000                1          
